x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,y
83080,-551950,40113,-2302796,-735,916102,-2024158,2091455,860605,-9540734
44617,-320922,306476,-1963102,40769,-325917,-2164151,2018391,382878,-7664252
170865,187280,189464,-1085394,37592,657229,-1769491,2359113,593289,-7209431
116222,-228041,252868,-1362982,52483,-445796,-1466179,2301459,123230,-6627476
126072,-492512,20812,222936,31681,2046065,-2544344,2434993,-68708,-6405839
106471,-386529,118639,627100,1639,691193,-2623629,2569461,764847,-6391026
75033,237457,135000,-2106866,15286,-92373,-1479353,1127054,818263,-6220920
64960,-1095552,161873,-2126961,20538,762213,-1583198,855341,-86520,-6129442
140273,-8140,193061,49171,-10597,2307027,-1020593,2137155,809021,-5891232
129543,-640834,177188,133736,-47104,-160031,-1055753,2249500,1044973,-5807652
83811,-973921,124700,1755583,62481,-687604,-1565589,3204442,997166,-5570070
63330,1219746,61699,1015367,61870,2156644,-2117747,2941759,657231,-5504963
138604,628976,197153,759491,56194,591428,-2109692,2876476,531778,-5375524
139587,-102619,358784,-703961,72974,-241649,-1977855,2084213,-188082,-5238582
154630,-587456,186461,-408411,53483,2025692,-2215792,1646673,-500502,-5183261
77889,693838,295804,-2143214,8877,-226248,-1108296,1348357,98466,-5150096
44658,-908485,243844,-914473,5836,-448783,-2003283,1552754,-219125,-5133367
49069,511686,183615,-51966,35523,-347988,-2423960,2266171,378845,-5125347
49573,163036,71927,539200,-21731,346720,-1279102,2310272,880792,-4924932
91971,-360474,253213,-1271641,71667,416179,-1133879,1554096,-398477,-4878450
52173,-881632,307389,-316177,-59564,1308836,-1589659,1085578,508453,-4711683
72465,-123000,114451,-2418235,-8689,-908439,-2012983,11121,546181,-4680933
153641,-293194,260662,-65283,30012,1550879,-1654527,1527328,298579,-4677498
170239,1102526,241647,548910,1257,-126796,-2000891,2828812,231239,-4546534
85300,-1928119,294615,-1203345,34528,1673042,-1243827,424106,-397376,-4507520
114571,293137,268905,12963,80308,-173716,-1133880,1594447,1356610,-4448966
64119,-155196,94375,330397,21183,443665,-2445845,1554398,483945,-4374644
66721,257518,137656,-1633086,35780,-586821,-2455958,138396,877066,-4273220
133752,-85496,240889,-1061906,56859,-783394,-2286694,967983,198058,-4232374
122359,-605459,172683,-1212665,11386,1675136,-1060099,471547,-207707,-3818576
56740,-1267501,258812,1995396,-468,276032,-2146049,2120932,648110,-3788883
44704,111980,88928,446857,61650,1202059,-1806727,1202700,841372,-3741540
168776,48887,200355,894161,30239,1534005,-2628177,1508941,334105,-3695783
157667,461663,60947,-728393,47694,732203,-1888421,251497,1158314,-3664431
143384,-346144,308896,1603365,-63728,-366726,-2309463,2677720,-67742,-3639225
166033,750449,48562,-1577792,110958,-235564,-2362086,269937,323666,-3627716
96702,-520171,167836,-309008,76141,-600531,-1294624,1246637,136405,-3530506
73464,259175,228772,287779,-68993,322873,-1657123,1762958,68627,-3457025
142515,417116,342310,971055,-25331,-66707,-2424300,2179943,71255,-3377164
87637,82855,196784,-98205,-56271,1485680,-2386370,477889,496020,-3214468
94903,-850313,331489,756775,29368,500463,-1980204,1314237,33553,-3017460
147952,-1390017,187097,1360197,-37676,951510,-2454309,1029934,191818,-2833978
43622,789806,124410,186069,96780,1982433,-1398372,1169871,90484,-2739658
109569,1480359,145337,-1134276,69253,-880029,-1241359,766293,563878,-2661358
121546,-1012269,264189,1718845,-19863,1160563,-2600617,1382755,44013,-2640075
111776,-1508032,245159,2998630,-32996,966798,-2523950,2274891,-58379,-2600148
43684,-207228,361334,1962067,-26285,1482681,-1728401,2130045,32828,-2523233
161582,-343342,211831,1561787,51007,681787,-1336593,1910016,138418,-2518705
92879,206823,166442,1374763,-61103,-861246,-2217070,1621338,770548,-2474469
144068,-336416,296938,2628080,80852,268683,-2427413,2581059,1335,-2464415
59266,-502925,141668,1789050,18969,598277,-1822714,1433269,617990,-2296690
49703,-523788,249698,2058227,35304,1579818,-2073463,1758061,26472,-2286750
140196,-1353802,338835,2958550,13687,135959,-2015825,2545417,-138370,-2272484
61705,529538,267519,1351164,4229,272229,-1711030,2146087,-100278,-2263019
109859,1051536,338577,1629608,26397,865521,-2047991,1953711,517314,-2237397
158798,-999730,350450,2683387,-61363,1112123,-1239769,1724559,1020296,-2177492
49404,-1804370,355440,2948545,46578,503604,-1259549,1944532,607837,-2097361
92096,-256848,309114,2118855,11687,906751,-2275053,1739601,165225,-1975661
139965,-899094,206763,1632350,9132,919090,-1333758,1236118,236884,-1867146
96451,-95811,346251,-172113,12061,-92070,-1047150,765351,-137766,-1827323
