x_0,x_1,x_2,x_3,x_4,x_5,x_6,y
364733,1198082,266926,-20115,-237574,1167830,-320227,-2629426
292698,988784,436670,-33296,-78686,971085,-441436,-2480752
170836,1020024,319603,-23692,-226386,997126,-311325,-2466069
292214,1110731,238888,-33679,-238931,1089227,-277313,-2457205
231760,423937,632748,-17559,-220866,417778,-587491,-2450335
250023,1190989,273733,-22832,-132315,1162150,-294765,-2415024
350328,942370,422100,-23391,-79529,921869,-444983,-2411854
274428,1194025,244929,-31312,-148010,1168779,-277500,-2398274
250466,1059071,313081,-25671,-140594,1035763,-327511,-2367085
340023,1210503,196182,-25841,-175315,1182339,-254868,-2359536
340778,1184177,228470,-24497,-148372,1156286,-281844,-2359029
343999,1143415,198343,-18613,-213328,1114289,-257739,-2350676
541310,1185910,204627,-24914,-143826,1158143,-316453,-2339592
415510,1147238,311119,-34129,-22616,1124742,-370638,-2327414
209890,645606,431645,-31655,-235966,638365,-414815,-2307056
393128,1151637,206522,-26149,-156019,1125524,-277842,-2305993
340600,1002789,314416,-27723,-121865,982207,-353059,-2293697
348466,1187896,179129,-24880,-172136,1160050,-243018,-2286535
275720,1188969,135232,-31577,-228622,1164003,-186894,-2282208
348150,846089,436767,-25864,-60205,829800,-456554,-2269840
398972,1196111,221283,-32597,-80608,1171357,-291666,-2268081
426712,1209995,97089,-30663,-231497,1183947,-196212,-2249757
380163,1195650,132011,-31703,-194656,1170522,-212545,-2245912
290987,1043079,332766,-28765,-55253,1021639,-354820,-2245626
502959,939454,253327,-22768,-203453,918778,-346433,-2242244
147637,1123043,226259,-32715,-130949,1100719,-227638,-2240094
224412,1111469,212583,-31845,-160309,1089143,-237117,-2230496
142512,981420,317765,-27458,-129037,961419,-302121,-2228859
248847,1112818,363661,-31231,51154,1090180,-369010,-2223500
185095,1198506,179738,-33078,-136645,1173883,-199222,-2223447
195038,1090178,354610,-19862,15534,1063328,-346914,-2218156
213237,1125652,338654,-19402,8715,1097448,-338619,-2214684
259544,867154,285611,-30238,-215707,852083,-307195,-2201635
360608,1221260,98713,-23362,-198513,1191666,-179633,-2200666
542702,1215578,71373,-29674,-200491,1188917,-206342,-2176430
187495,1212557,195147,-19681,-83631,1181645,-212649,-2170449
449638,1082208,205669,-32209,-110998,1060993,-292458,-2145920
504375,769430,301481,-23152,-194298,754456,-386744,-2136989
241062,826555,308880,-22515,-173665,809444,-321477,-2135426
145959,1135879,128761,-24457,-215623,1109542,-146342,-2132844
421444,1207924,77214,-18782,-189784,1176771,-178304,-2129782
149029,1164255,126263,-30298,-183654,1139537,-145103,-2127507
503806,1178904,282863,-32717,77978,1154762,-371152,-2117187
358687,911760,217152,-28926,-206465,894665,-277316,-2117180
253932,1104586,357228,-27993,100411,1080807,-365055,-2117014
218203,1153401,82502,-30299,-229439,1129037,-127576,-2109851
213154,1033190,146553,-16956,-238644,1006932,-179315,-2108034
170332,670460,451849,-29449,-92468,661450,-420841,-2105636
242205,1211786,160323,-21270,-88844,1181591,-198610,-2097990
198717,1212777,186680,-19378,-57210,1181726,-208672,-2091132
345895,1196359,213996,-18407,-7331,1165419,-271231,-2089693
395937,1098521,70269,-32010,-236109,1076688,-165629,-2074376
360420,709052,298913,-29675,-231233,698884,-345579,-2073760
385032,1204068,48611,-19878,-202508,1173518,-144714,-2073512
237416,1119838,138597,-30704,-157613,1096743,-179298,-2072646
173691,912783,284821,-16985,-122307,890458,-283260,-2064831
377954,1057232,151280,-30088,-154736,1035908,-227923,-2061978
