x_0,x_1,x_2,x_3,y
259206,3160011,-444,273365,-951503
340474,3344592,-710733,145750,-933251
195091,2316881,-195040,543416,-927169
257446,3120884,-73435,168583,-908488
392047,3372864,26014,168948,-894110
316151,2910602,-301833,410968,-886462
327595,3614404,224091,108776,-865067
318371,3344654,-140344,215132,-815335
404844,2627745,-430823,189566,-814260
245720,1840152,-404965,422816,-804673
326930,3453668,213983,91025,-796358
200315,2064663,-209813,358266,-777522
334516,3157583,131609,260260,-760068
467734,3557857,-185895,-37461,-751241
289071,2463151,-31278,296441,-733311
464318,2886049,-22829,254358,-732498
241761,2274548,13272,325175,-732020
287157,2780488,-268514,37057,-727430
296583,2162048,-417254,239053,-725058
253944,2542558,-107821,361611,-724578
201405,1940754,-83310,540588,-716700
236201,2445343,274151,281557,-675752
275314,2672284,-483488,9497,-667086
447109,3409992,-94634,62802,-665146
326883,2707488,-78016,1200,-663506
291980,2482064,-209540,232168,-659550
212069,2431756,-227929,197217,-659004
218139,2486932,-216542,74299,-651639
200896,1844274,-349517,168641,-646014
264490,2371798,-195156,303645,-634749
339944,2424104,-100664,218798,-634055
399900,2744756,-322607,6895,-625763
443039,2428861,-461610,311073,-619192
271016,2246164,302845,159983,-619137
312214,2350157,-160424,138486,-615387
255494,1921460,-630766,293348,-610802
432413,2138699,-522873,255891,-609368
310538,2117008,-70382,143232,-607841
245867,2532058,177729,415964,-605210
216659,1668726,-363922,404035,-604901
452829,2999221,2640,306121,-603636
196735,2438686,284200,52334,-602946
248486,1886431,-103354,213513,-602476
283950,1792867,-112361,336300,-600263
204773,1848490,-250632,328821,-596047
462721,2897029,-373703,155695,-591786
388398,2800913,-59448,82571,-590632
196393,1901858,19899,423970,-586944
215860,2029626,142448,269079,-586171
337874,1979141,-596044,355791,-580373
231488,1946123,180241,217476,-577159
212755,1773542,-115984,316164,-575417
420146,3226002,156265,225023,-572102
337722,2241758,-1862,300712,-569783
256777,1770059,-211546,220932,-568697
214178,1312240,-381127,390229,-568459
219023,1675289,-339322,227010,-567127
257379,1432700,23634,528382,-562856
241275,2316042,244050,259341,-562778
365809,2821687,-114315,301694,-562426
423327,2363912,-608340,230316,-559630
314643,1860082,-463590,158692,-557740
279698,2149954,-367055,240999,-556649
239249,2440005,-313804,-11816,-547186
421197,1943719,222137,411244,-547037
258621,1655012,-160359,251271,-544536
228403,1626791,-517416,210935,-542061
285034,2603779,-36405,-9137,-540029
360705,1911791,-133485,513915,-539143
222434,1420453,-588904,553196,-537223
295266,2087092,139729,142703,-535582
216654,2165789,-143218,147384,-533007
248452,1763211,-65548,366390,-531964
230514,2652760,361059,-43049,-531064
455771,2578588,-138487,260902,-529913
205126,1250438,30140,418326,-528940
383008,1249432,-150880,427842,-526931
215783,2204891,-130259,172986,-522145
287097,2684582,146275,239672,-520322
212358,2488293,472012,202053,-517361
196943,1180023,-180880,298556,-516959
306016,2123301,379854,379718,-511124
354018,2360778,-184577,129400,-508255
237407,1947663,-184719,115228,-507487
404963,1842416,-437268,181515,-507474
351102,1928615,-162730,210938,-506056
218774,1556523,50878,138903,-505000
421588,2522496,-233100,195802,-503907
245125,1821746,-1230,234254,-503533
220406,1999351,393185,252111,-503071
242612,1764134,-547957,69761,-501826
271123,1802247,-32204,136363,-498555
255701,1805175,80278,326521,-498244
330601,2080802,379580,289554,-494545
339148,2270310,-343544,173643,-489952
226722,2477267,-61642,18657,-487131
317016,2354028,-234353,35420,-486112
231377,1719901,-4707,261440,-485762
252919,1891829,-317491,169628,-485550
209364,1058418,-423035,529998,-484253
430647,2119255,-114999,362176,-482211
273081,2501613,104227,-17607,-482175
196685,1382438,121281,218014,-481053
218030,1240045,-137302,474670,-472482
194191,1748497,15739,227520,-471970
252837,2455338,-227847,11391,-471077
405368,1732384,173391,308392,-468455
371570,1587803,-494278,279378,-464303
385826,1935754,-39044,208887,-463598
364451,1891844,-179921,245002,-463139
253228,1485465,-248487,429364,-462300
300854,1818491,-250538,181029,-460298
199961,1440435,-158419,240745,-459206
328409,2272814,68798,150740,-459115
216947,1471829,106420,260296,-458061
354077,1897201,-158926,196395,-457932
342453,1949592,-62136,307893,-455965
230030,1678894,-235674,204012,-455430
404429,2626660,-111776,-42930,-454099
202484,1099749,238872,362645,-453788
243637,1691925,-423653,-103469,-452050
298763,1902996,17,318000,-451868
281701,1507535,244298,139920,-450195
238236,1828935,-185065,242830,-448801
254869,1725103,-911,214432,-447847
243463,1581627,-400405,340821,-446929
387136,2224102,-395942,144610,-445666
345136,2362466,-424579,142914,-445300
366905,2478960,-224860,-103462,-444687
441218,2495869,32434,29908,-444271
219193,1219206,-48442,168208,-443950
463129,2040527,-499997,250918,-443093
384623,1213178,-147508,557355,-442452
211344,1768924,-274815,70358,-441368
386480,2462605,9647,229972,-440617
272092,1885458,-234762,97042,-440443
417966,2076941,-139622,67882,-438038
415372,2161085,46269,373980,-437987
435812,2050848,-306428,267301,-436829
238385,1758109,-80635,279040,-436628
320881,1841950,-168176,277642,-436481
207715,2235585,74732,3578,-435959
231222,1640665,-670941,188532,-434662
218322,1141834,-331690,202180,-434108
417361,2316751,-14104,102395,-433365
396306,2101359,19363,281670,-432281
418398,1993275,-303270,392254,-432006
230851,1547491,152627,127728,-431798
411844,2173666,-161518,283230,-430718
287746,2366978,143019,-334655,-429791
234883,581364,-334687,465939,-428919
408429,2195919,-162978,88214,-428527
307392,1666283,-55952,407916,-427926
341428,1941892,-386077,159577,-426118
343249,1880136,-255957,310096,-425635
349156,1991958,-9029,312721,-424087
201570,1689033,-276755,158372,-418514
214448,1700294,-41255,250389,-417699
430578,1681824,22210,208594,-415120
375773,1842992,-155364,253201,-414321
280855,1539516,-288520,347366,-412671
312675,1146338,-683724,321493,-411799
389469,2093778,351444,182472,-410288
210143,2228261,49084,143473,-407318
210033,1604809,-401921,-37565,-407114
264041,1788249,-167594,25078,-406285
416310,2086271,-617834,25557,-406077
307917,2343390,-110916,134912,-405481
302314,1241395,-399973,252979,-404990
199124,2035572,117157,65558,-403457
246075,1893153,-276626,-94226,-401506
303732,2159495,-21575,99858,-400481
387654,2039286,-147784,190103,-399868
196390,1606589,-142471,56701,-399186
304432,1788512,-528344,95002,-398471
231006,1477244,-265355,146668,-397101
408385,1191693,-43964,260071,-396259
288803,1235573,-92003,204475,-395799
368988,2539097,-2418,180217,-394689
352177,2279394,140693,185242,-393274
334053,1604220,-36272,174427,-391606
346557,2253341,53696,207986,-391234
369633,1308919,-216293,418420,-389809
406631,1806203,-279200,47192,-389374
386393,1973904,-53217,239952,-389236
195296,1447985,177567,319367,-386419
294120,1862547,287649,255665,-385695
223089,686266,-41836,389926,-385218
402591,2129616,-67577,68594,-384302
331199,1536544,-229467,302452,-383159
345305,2043788,181056,11132,-381858
270090,1536039,-218227,122046,-381630
201846,1388204,-166932,387144,-381404
339580,1563186,-617121,121310,-381049
417974,1843777,-404946,254383,-380100
210989,1316389,-471951,164288,-379510
200294,1454044,404796,156951,-378992
216509,1442501,-71471,314767,-377984
439454,2235228,111232,103615,-376544
335920,1419940,-285538,255581,-375198
435325,2002076,-178834,-26700,-374312
212150,1617729,-13951,110812,-373493
387219,1961379,-189416,146644,-373238
198625,1128120,-145075,210939,-372879
418157,1728613,-178123,365633,-372013
375646,1866231,-211094,154914,-371970
227672,1750028,131139,142057,-370020
302467,1100938,-47921,415602,-369907
415705,1946307,-276686,79147,-369842
288352,1366432,-313332,-20123,-369481
461085,2161207,-246194,297492,-368823
294271,1321878,150610,315861,-367942
385660,1373958,-538412,273604,-366903
195213,1416543,-659182,122737,-366825
201822,1056687,-146504,146624,-366059
226617,1143793,-520759,152916,-363469
290428,1661361,-218198,62635,-363117
285822,1258638,-129079,399515,-362682
331734,2443697,-112515,-122964,-362337
280384,1196817,-174875,333011,-362160
396763,2249329,262742,-69047,-362144
371275,1643343,75728,365445,-361902
357583,1411275,45954,371525,-361793
456607,1169266,-283966,481653,-361230
461878,2575619,-66307,104130,-359133
235141,1144351,-230314,260469,-358815
378223,2006570,-94381,350519,-358439
199200,1462099,-252146,-116225,-356938
231837,864642,-231918,507787,-356027
270749,1348361,-344164,148077,-354458
